249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
249,249,249
248,248,248
244,244,244
240,240,240
236,236,236
232,232,232
228,228,228
224,224,224
221,221,221
217,217,217
213,213,213
209,209,209
205,205,205
201,201,201
197,197,197
193,193,193
189,189,189
185,185,185
181,181,181
178,178,178
174,174,174
170,170,170
166,166,166
162,162,162
158,158,158
154,154,154
150,150,150
146,146,146
142,142,142
139,139,139
135,135,135
131,131,131
127,127,127
123,123,123
119,119,119
115,115,115
111,111,111
107,107,107
103,103,103
100,100,100
96,96,96
92,92,92
88,88,88
84,84,84
80,80,80
76,76,76
72,72,72
68,68,68
64,64,64
60,60,60
57,57,57
53,53,53
49,49,49
45,45,45
41,41,41
37,37,37
33,33,33
29,29,29
25,25,25
21,21,21
18,18,18
14,14,14
10,10,10
6,6,6
2,2,2
1,0,0
3,0,0
5,0,0
7,0,0
9,0,0
11,0,0
13,0,0
15,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,0,0
48,0,0
49,0,0
51,0,0
53,0,0
55,0,0
57,0,0
59,0,0
61,0,0
63,0,0
65,0,0
67,0,0
69,0,0
71,0,0
73,0,0
75,0,0
77,0,0
79,0,0
80,0,0
82,0,0
84,0,0
86,0,0
88,0,0
90,0,0
92,0,0
94,0,0
96,0,0
98,0,0
100,0,0
102,0,0
104,0,0
106,0,0
108,0,0
110,0,0
112,0,0
113,0,0
115,0,0
117,0,0
119,0,0
121,0,0
123,0,0
125,0,0
127,0,0
129,0,0
131,0,0
133,0,0
135,0,0
138,0,0
140,0,0
142,0,0
144,0,0
146,0,0
148,0,0
150,0,0
152,0,0
154,0,0
156,0,0
158,0,0
160,0,0
162,0,0
164,0,0
166,0,0
168,0,0
171,0,0
173,0,0
175,0,0
177,0,0
179,0,0
181,0,0
183,0,0
185,0,0
187,0,0
189,0,0
191,0,0
193,0,0
195,0,0
197,0,0
199,0,0
201,0,0
203,0,0
206,0,0
208,0,0
210,0,0
212,0,0
214,0,0
216,0,0
218,0,0
220,0,0
222,0,0
224,0,0
226,0,0
228,0,0
230,0,0
232,0,0
234,0,0
236,0,0
239,0,0
241,0,0
243,0,0
245,0,0
247,0,0
249,0,0
251,0,0
253,0,0
255,0,0
